日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2021/9/7,臺南市,安南區,城西里,住宅,80,1,0,30,30,0,1,1,1,1,3,2,120.0954076,23.0508632
2021/9/8,臺南市,安南區,城西里,住宅,80,0,0,17,17,0,0,0,0,0,0,0,120.0954076,23.0508632
2021/9/6,臺南市,安南區,城南里,住宅,80,0,0,10,10,0,0,0,0,0,0,0,120.1185102,23.0567837
2021/9/9,臺南市,安南區,原佃里,住宅,80,0,1,5,6,0,0,0,0,0,0,0,120.1964522,23.0538947
2021/9/6,臺南市,安南區,海西里,住宅,80,0,0,25,25,0,0,0,0,0,0,0,120.1791357,23.0306699
2021/9/10,臺南市,安南區,海東里,住宅,80,0,0,12,12,0,0,0,0,0,0,0,120.1863512,23.0412431
2021/9/9,臺南市,安南區,海南里,住宅,80,0,0,10,10,0,0,0,0,0,0,0,120.1675902,23.0116011
2021/9/10,臺南市,安南區,國安里,住宅,80,0,3,2,5,0,0,0,0,0,0,0,120.1805789,23.0236541
2021/9/6,臺南市,安南區,淵西里,住宅,80,0,2,12,14,0,0,0,0,0,0,0,120.1661469,23.0562175
2021/9/10,臺南市,安南區,理想里,住宅,90,0,0,10,10,0,0,0,0,0,0,0,120.1914018,23.0368283
2021/9/9,臺南市,安南區,頂安里,住宅,80,0,0,5,5,0,0,0,0,0,0,0,120.2043882,23.0394768
2021/9/7,臺南市,安南區,塭南里,住宅,80,1,0,10,10,0,1,1,1,1,10,4,120.2209801,23.0715691
2021/9/8,臺南市,安南區,新順里,住宅,81,2,2,4,6,1,1,2,2,1,33,8,120.2195374,23.0436829
2021/9/6,臺南市,安南區,溪心里,住宅,80,1,0,14,14,0,1,1,1,1,7,3,120.1849082,23.0509441
2021/9/8,臺南市,安南區,溪北里,住宅,80,0,1,4,5,0,0,0,0,0,0,0,120.2130451,23.0255799
2021/9/7,臺南市,安南區,溪頂里,住宅,80,2,4,7,11,1,1,2,3,1,18,5,120.2072739,23.0254471
2021/9/7,臺南市,安南區,溪墘里,住宅,80,0,8,12,20,0,0,0,0,0,0,0,120.1928448,23.0244424
2021/9/8,臺南市,安南區,總頭里,住宅,80,1,0,15,15,0,1,1,1,1,7,3,120.2065525,23.050434
2021/9/6,臺南市,安南區,?田里,住宅,80,1,0,17,17,0,1,1,1,1,6,3,120.1531568,23.028049
2021/9/7,臺南市,安平區,天妃里,住宅,80,1,0,9,9,0,1,1,1,1,11,4,120.1606903,23.0006638
2021/9/10,臺南市,安平區,天妃里,住宅,80,1,1,6,7,1,0,1,1,1,14,4,120.1606903,23.0006638
2021/9/10,臺南市,安平區,文平里,住宅,80,2,0,7,7,0,2,2,3,1,29,7,120.1805789,22.9860574
2021/9/11,臺南市,安平區,文平里,住宅,120,0,0,8,8,0,0,0,0,0,0,0,120.1805789,22.9860574
2021/9/9,臺南市,安平區,王城里,住宅,80,2,0,12,12,0,2,2,3,1,17,5,120.1606244,23.0015093
2021/9/10,臺南市,安平區,平安里,住宅,80,0,0,7,7,0,0,0,0,0,0,0,120.1726415,22.9991307
2021/9/9,臺南市,安平區,平通里,住宅,80,0,0,5,5,0,0,0,0,0,0,0,120.1690334,22.9938422
2021/9/6,臺南市,安平區,育平里,住宅,80,0,0,10,10,0,0,0,0,0,0,0,120.1661469,22.989074
2021/9/9,臺南市,安平區,怡平里,住宅,80,0,0,8,8,0,0,0,0,0,0,0,120.176971,22.994197
2021/9/11,臺南市,安平區,怡平里,住宅,120,0,0,8,8,0,0,0,0,0,0,0,120.176971,22.994197
2021/9/7,臺南市,安平區,金城里,住宅,80,3,1,12,13,0,3,3,4,1,23,6,120.1488264,22.9953785
2021/9/9,臺南市,安平區,建平里,住宅,80,1,1,12,13,0,1,1,1,1,8,3,120.1834651,22.9935103
2021/9/8,臺南市,安平區,國平里,住宅,80,1,0,5,5,0,1,1,1,1,20,5,120.1675902,22.9793723
2021/9/10,臺南市,安平區,華平里,住宅,80,1,0,7,7,0,1,1,1,1,14,4,120.1740847,22.9948005
2021/9/6,臺南市,安平區,漁光里,住宅,80,6,0,29,29,0,7,7,9,2,24,6,120.1574869,22.9801396
2021/9/8,臺南市,安平區,億載里,住宅,80,1,0,4,4,0,1,1,1,1,25,6,120.1603737,22.9902803
2021/9/9,臺南市,仁德區,一甲里,住宅,80,1,0,8,8,0,1,1,1,1,13,4,120.2613689,22.9771958
2021/9/10,臺南市,仁德區,二行里,住宅,80,0,0,13,13,0,0,0,0,0,0,0,120.2209801,22.9212251
2021/9/10,臺南市,仁德區,上崙里,住宅,80,1,0,18,18,0,1,1,1,1,6,3,120.2599266,22.9385802
2021/9/9,臺南市,仁德區,土庫里,住宅,80,1,0,11,11,0,1,1,1,1,9,3,120.2656955,22.9856821
2021/9/10,臺南市,仁德區,大甲里,住宅,80,0,0,34,34,0,0,0,0,0,0,0,120.2079953,22.9225952
2021/9/6,臺南市,仁德區,中洲里,住宅,80,1,0,41,41,0,1,1,1,1,2,1,120.2599266,22.9063718
2021/9/7,臺南市,仁德區,仁和里,住宅,80,0,0,20,20,0,0,0,0,0,0,0,120.224226,22.9591394
2021/9/10,臺南市,仁德區,仁愛里,住宅,80,1,0,3,3,0,1,1,1,1,33,8,120.2209801,22.9534423
2021/9/8,臺南市,仁德區,仁義里,住宅,80,0,0,10,10,0,0,0,0,0,0,0,120.2656955,22.9695788
2021/9/9,臺南市,仁德區,仁德里,住宅,80,1,0,8,8,0,1,1,1,1,13,4,120.2455033,22.9657583
2021/9/11,臺南市,仁德區,仁德里,住宅,80,1,0,4,4,0,1,1,1,1,25,6,120.2455033,22.9657583
2021/9/9,臺南市,仁德區,太子里,住宅,80,1,0,28,28,0,1,1,1,1,4,2,120.2584844,22.9912207
2021/9/6,臺南市,仁德區,文賢里,住宅,80,1,0,37,37,0,1,1,1,1,3,2,120.1932056,23.003892
2021/9/6,臺南市,仁德區,成功里,住宅,80,1,0,15,15,0,1,1,1,1,7,3,120.225308,22.9404559
2021/9/6,臺南市,仁德區,保安里,住宅,80,1,0,28,28,0,1,1,1,1,4,2,120.2310784,22.9231415
